Address,Asset,Start_Block,Status,End_Block
0xd9e1e620138ce14dd3fbb28436248b8308b65558,wsteth,17456506,repaid,19354497.0
0x79d2a236aa643aaca706a56ff16c3a45b0f14c0c,wsteth,17456711,forced-liquidation,17480682.0
0x79d2a236aa643aaca706a56ff16c3a45b0f14c0c,wsteth,17481156,repaid,17481187.0
0x79d2a236aa643aaca706a56ff16c3a45b0f14c0c,wsteth,17481201,repaid,18966266.0
0x0a123b424ee4a950db80510e22a31f21836eb444,wsteth,17457043,repaid,17748653.0
0x6c51fa14f293814bc1e30ec186a7c4896ed359f1,wsteth,17457576,repaid,17574214.0
0x6c51fa14f293814bc1e30ec186a7c4896ed359f1,wsteth,17639930,repaid,18626310.0
0x85cf8ce6c1a980b8f75f07575df6558b69e7f446,wsteth,17457828,repaid,17529019.0
0x85cf8ce6c1a980b8f75f07575df6558b69e7f446,weth,19266980,self-liquidation,19854556.0
0x32b487b44f4e7c6485209dbab4e985bea8dc0b06,wsteth,17458107,repaid,18684891.0
0x32b487b44f4e7c6485209dbab4e985bea8dc0b06,wbtc,17609185,forced-liquidation,17937494.0
0xc6b3586a90a85d7dcc5f7e39a583eb87e26fa35e,wsteth,17458293,forced-liquidation,17937512.0
0xae616c5e177cda85cafac4872bb33487d02d2a1c,wsteth,17458439,forced-liquidation,17480684.0
0xae616c5e177cda85cafac4872bb33487d02d2a1c,wsteth,17483343,repaid,18675639.0
0xae616c5e177cda85cafac4872bb33487d02d2a1c,weth,18705215,repaid,19010659.0
0xae616c5e177cda85cafac4872bb33487d02d2a1c,weth,19321534,repaid,19438787.0
0xae616c5e177cda85cafac4872bb33487d02d2a1c,wbtc,19561491,active,
0xb221963cad5856c657647d7126a6fe6a47cac773,wsteth,17458602,forced-liquidation,17480671.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wsteth,17483921,self-liquidation,17938224.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wsteth,17938313,self-liquidation,18383016.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wbtc,17672610,repaid,18418591.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wbtc,18418857,repaid,18428377.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wbtc,18428421,repaid,18979048.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wbtc,19415951,repaid,19416001.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wbtc,19416011,self-liquidation,19486910.0
0xb221963cad5856c657647d7126a6fe6a47cac773,wbtc,19486924,repaid,19779351.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,17801657,repaid,17874886.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,18136906,repaid,18163986.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,18235981,repaid,18245728.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,18245745,self-liquidation,18325816.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,18326389,repaid,19063339.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,19271031,self-liquidation,19449787.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,19449842,self-liquidation,19472165.0
0xb221963cad5856c657647d7126a6fe6a47cac773,weth,19472186,self-liquidation,19807455.0
0x788e066697f1a792b35e8f95747c11e4e2a85616,wsteth,17459619,repaid,17983394.0
0x7425d784b866486fd8be134df053f6cc4b6a0c30,wsteth,17460863,repaid,19637898.0
0xfd83f8bcee04b49199ba72c65cd34ce3ca938f96,wsteth,17461643,repaid,17718384.0
0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,wsteth,17462102,repaid,17732826.0
0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,wsteth,17732982,repaid,18689646.0
0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,wbtc,17661683,repaid,17697145.0
0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,wbtc,17732869,repaid,17812052.0
0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,wbtc,18011942,repaid,18654768.0
0x5f55059a1bd5598053a2127d5f642ecd3a68eb3c,sfrxeth,18011972,repaid,18689737.0
0x38c56c6bde3edf87e8efe1904020a5fa26a3e1b0,wsteth,17462389,self-liquidation,18038707.0
0x38c56c6bde3edf87e8efe1904020a5fa26a3e1b0,wbtc,18426923,self-liquidation,18609058.0
0x38c56c6bde3edf87e8efe1904020a5fa26a3e1b0,wbtc,19484832,active,
0x55a4f9d5d8d944f2485a9d3dc335a6936fc40677,wsteth,17462621,forced-liquidation,18344170.0
0x6581e989c48b9fb70cbaa5f887cee4285db054ad,wsteth,17462821,forced-liquidation,18417123.0
0xf9aa0da6e2fa01a17e2f69e878e45bb26c1b34b7,wsteth,17463088,repaid,17813884.0
0xae653682dee958914a82c9628de794dcbbee3d04,wsteth,17463182,forced-liquidation,17963116.0
0x54bf3c179342b8c06b8712d67674e06f9a001601,wsteth,17463217,self-liquidation,17796758.0
0x54bf3c179342b8c06b8712d67674e06f9a001601,wsteth,18432256,self-liquidation,18861376.0
0x54bf3c179342b8c06b8712d67674e06f9a001601,weth,18861504,repaid,18861511.0
0x54bf3c179342b8c06b8712d67674e06f9a001601,weth,18861603,self-liquidation,18897446.0
0x54bf3c179342b8c06b8712d67674e06f9a001601,weth,18914131,repaid,18991994.0
0x93cdb0a93fc36f6a53ed21ecf6305ab80d06beca,wsteth,17463300,repaid,17670086.0
0xd289986c25ae3f4644949e25bc369e9d8e0caead,wsteth,17463489,repaid,17541071.0
0xaf184b4cbc73a9ca2f51c4a4d80ed67a2578e9f4,wsteth,17463521,repaid,17689941.0
0xc1946220bbed2ce58884f21b0a0cd88f82913bf7,wsteth,17463550,self-liquidation,17783776.0
0x11a8c90d36d147fa27e6313bfe1ec7a0eaab424a,wsteth,17463970,active,
0x769cb850ef129d36b14907267c62bc5d6d28ae71,wsteth,17464372,repaid,17555111.0
0x769cb850ef129d36b14907267c62bc5d6d28ae71,wsteth,17689825,self-liquidation,18038638.0
0x769cb850ef129d36b14907267c62bc5d6d28ae71,wbtc,18602586,repaid,18674999.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,wsteth,17464714,self-liquidation,17947066.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,weth,17947270,self-liquidation,18927031.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,weth,18931648,repaid,19046564.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,weth,19240737,repaid,19331280.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,weth,19331327,repaid,19376812.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,weth,19390385,self-liquidation,19466661.0
0x0bc5a06ba9949c90acfdd0717ba62fbd8878b1aa,weth,19518236,active,
0x04aaf609250d8086ffa72546c5fdc33d4b736015,wsteth,17464797,repaid,17703648.0
0x3980e196ca928976ed41a14cba69a6fb50116b2b,wsteth,17465972,repaid,18704578.0
0x3980e196ca928976ed41a14cba69a6fb50116b2b,wbtc,19126202,active,
0x5a9e63f1555ebe7268bf1ac11b1454608bb60ec0,wsteth,17465977,repaid,17627966.0
0x5a9e63f1555ebe7268bf1ac11b1454608bb60ec0,wsteth,17640690,repaid,17665626.0
0xc532b546cc0d7e2c62c63339c090e946df2b8749,wsteth,17466324,forced-liquidation,18274042.0
0x1e85723d45c6094611784efe6291fd452ef9ffaf,wsteth,17466376,self-liquidation,17772110.0
0x51c2b001df060f3e15b3a26e74a37588fa76de7d,wsteth,17466638,forced-liquidation,17937438.0
0x0ea05d9fdcef4d7bec15e5c96de2e18459d4eed6,wsteth,17466761,repaid,17569935.0
0x1e072c85b84deda7db0d24d8bb60a21e7ee7ddcd,wsteth,17466771,forced-liquidation,17480686.0
0x1e072c85b84deda7db0d24d8bb60a21e7ee7ddcd,wsteth,17491374,forced-liquidation,17937462.0
0x1e072c85b84deda7db0d24d8bb60a21e7ee7ddcd,wsteth,18051252,repaid,18363443.0
0x1e072c85b84deda7db0d24d8bb60a21e7ee7ddcd,wsteth,18363632,active,
